pras_ts,psy_no_scaling,psy_scaling
14,0.00021,0.19992000000000001
34,0.0051,4.8552
12,0.03646,34.70992
4,0.06043,57.52936
2,0.07,66.64
1,0.0913,86.91760000000001
1,0.094,89.488
0,0.1242,118.2384
0,0.17591,167.46632
1,0.2132,202.9664
1,0.19565,186.25879999999998
1,0.2307,219.6264
3,0.26796,255.09792
11,0.26135,248.8052
18,0.21121,201.07192
8,0.09215,87.7268
5,0.0392,37.3184
6,0.01724,16.41248
17,0.02064,19.649279999999997
33,0.03651,34.75752
39,0.03474,33.07248
51,0.032,30.464000000000002
57,0.04184,39.83168
60,0.12199,116.13448
31,0.11842,112.73584
30,0.09444,89.90688
55,0.05206,49.56112
47,0.0225,21.419999999999998
88,0.01258,11.976159999999998
104,0.02308,21.97216
123,0.02445,23.2764
98,0.02523,24.01896
126,0.02021,19.239919999999998
215,0.02572,24.48544
223,0.02465,23.4668
236,0.03153,30.016560000000002
239,0.0445,42.364
194,0.02292,21.81984
198,0.01588,15.117759999999999
230,0.01258,11.976159999999998
186,0.0,0.0
153,0.0,0.0
140,0.0,0.0
120,0.0,0.0
85,0.0,0.0
35,0.0,0.0
33,0.0,0.0
44,0.00059,0.5616800000000001
5,0.00302,2.8750400000000003
3,0.0,0.0
6,0.0,0.0
11,0.0,0.0
6,0.0,0.0
0,0.0,0.0
19,0.00437,4.16024
58,0.08882,84.55664
18,0.04912,46.76224
56,0.1466,139.5632
18,0.30784,293.06368
14,0.21016,200.07232000000002
18,0.14648,139.44896
12,0.15007,142.86664000000002
6,0.15379,146.40808
3,0.15024,143.02848
5,0.14836,141.23872
5,0.13144,125.13088
3,0.11938,113.64976
3,0.10133,96.46616
7,0.06936,66.03072
4,0.06738,64.14576
2,0.08544,81.33888
0,0.10486,99.82672
1,0.06845,65.1644
0,0.02873,27.350959999999997
0,0.05955,56.6916
10,0.08024,76.38848
2,0.09651,91.87752
0,0.11095,105.6244
0,0.14321,136.33592000000002
2,0.19556,186.17312
2,0.18808,179.05216
0,0.18169,172.96887999999998
12,0.17847,169.90344
20,0.22058,209.99216
14,0.21796,207.49792
30,0.15848,150.87296
23,0.14783,140.73416
14,0.10313,98.17976
3,0.02901,27.617520000000003
1,0.00184,1.7516800000000001
0,0.00044,0.41888000000000003
