name,available,prime_mover_type,bus_id,fuel,base_mva,rating,unit_type,active_power,active_power_limits_max,min_rated_capacity,min_down_time,min_up_time,mean_time_to_repair,forced_outage_rate,planned_outage_rate,ramp_up,ramp_down,category,must_run,pump_load,vom_price,fixed,start_up,heat_rate_a0,shut_down,heat_rate_a1,heat_rate_a2,fuel_price
Clark 14,TRUE,GT,1,GAS,1,60.5,NA,60.5,60.5,35,1,1,70,7.2,NA,4.84,4.84,NA,NA,NA,4.8,0,4174.5,203.0406799,0,-3.202312256,0.247941524,3686
Clark 4,TRUE,GT,1,GAS,1,60,NA,60,63,20,1,1,70,14.3,NA,4.8,4.8,NA,NA,NA,4.8,0,4140,203.0406799,0,-3.202312256,0.247941524,3686
Clark 18,TRUE,GT,1,GAS,1,60.5,NA,60.5,60.5,35,1,1,70,7.2,NA,4.84,4.84,NA,NA,NA,4.8,0,4174.5,203.0406799,0,-3.202312256,0.247941524,3686
Clark 22,TRUE,GT,1,GAS,1,60.5,NA,60.5,60.5,35,1,1,70,7.2,NA,4.84,4.84,NA,NA,NA,4.8,0,4174.5,203.0406799,0,-3.202312256,0.247941524,3686
"Clark 5, 6, 10_A",TRUE,GT,1,GAS,1,118,NA,118,125,57.5,8,6,74,9.6,NA,5.9,5.9,NA,NA,NA,2.8,0,9322,0,0,9.362785641,NA,3686
Harry Allen 4,TRUE,GT,1,GAS,1,72,NA,72,84,35,1,1,70,14.3,NA,5.76,5.76,NA,NA,NA,4.8,0,4968,363.944397,0,3.496435303,0.039901823,3686
Harry Allen CC_A,TRUE,GT,1,GAS,1,279,NA,279,290,133.5,8,6,74,2.3,NA,13.95,13.95,NA,NA,NA,2.8,0,22041,541.7235107,0,3.257329102,0.007327618,3686
Tracy 4&5 CC,TRUE,GT,3,GAS,1,113,NA,113,113,51.5,8,6,74,7.9,NA,5.65,5.65,NA,NA,NA,2.8,0,8927,265.7913818,0,2.361140381,0.032568961,3686
"Clark 7, 8, 9_A",TRUE,GT,1,GAS,1,118,NA,118,125,57.5,8,6,74,10.3,NA,5.9,5.9,NA,NA,NA,2.8,0,9322,0,0,9.362785641,NA,3686
Sun Peak 4,TRUE,GT,1,GAS,1,98.1,NA,98.1,98.1,65,1,1,70,14,NA,7.848,7.848,NA,NA,NA,4.8,0,6768.9,320.5814514,0,6.216032227,0.037735507,3686
LV Gen 1,TRUE,GT,1,GAS,1,61.3,NA,61.3,61.3,25,8,6,74,9.1,NA,3.065,3.065,NA,NA,NA,2.8,0,4842.7,100.8253555,0,5.481500977,0.024060557,3686
"Clark 5, 6, 10_B",TRUE,GT,1,GAS,1,118,NA,118,125,57.5,8,6,74,9.6,NA,5.9,5.9,NA,NA,NA,2.8,0,9322,0,0,9.362785641,NA,3686
LV Gen 3_B,TRUE,GT,1,GAS,1,74.4,NA,74.4,74.4,25,8,6,74,6.2,NA,3.72,3.72,NA,NA,NA,2.8,0,5877.6,78.33842468,0,6.047016602,0.005533212,3686
Chuck Lenzi 1_B,TRUE,GT,1,GAS,1,305,NA,305,311.5,117.5,8,6,74,2,NA,15.25,15.25,NA,NA,NA,2.8,0,24095,584.1397705,0,2.943610352,0.008576078,3686
LV Gen 2_B,TRUE,GT,1,GAS,1,74.4,NA,74.4,74.4,25,8,6,74,8.2,NA,3.72,3.72,NA,NA,NA,2.8,0,5877.6,103.4298935,0,4.719651855,0.021963364,3686
"Clark 7, 8, 9_B",TRUE,GT,1,GAS,1,118,NA,118,125,57.5,8,6,74,10.3,NA,5.9,5.9,NA,NA,NA,2.8,0,9322,0,0,9.362785641,NA,3686
Walt Higgings CC_A,TRUE,GT,1,GAS,1,344,NA,344,344,121,8,6,74,5.6,NA,17.2,17.2,NA,NA,NA,2.8,0,27176,558.9679565,0,2.802803955,0.009758514,3686
Clark 12,TRUE,GT,1,GAS,1,60.5,NA,60.5,60.5,35,1,1,70,7.2,NA,4.84,4.84,NA,NA,NA,4.8,0,4174.5,159.6880493,0,1.777228149,0.103308976,3686
Clark Mt. 4,TRUE,GT,3,GAS,1,73,NA,73,73,35,1,1,70,6.3,NA,5.84,5.84,NA,NA,NA,4.8,0,5037,331.2207336,0,4.571492188,0.046832561,3686
Clark 11,TRUE,GT,1,GAS,1,60.5,NA,60.5,60.5,35,1,1,70,7.2,NA,4.84,4.84,NA,NA,NA,4.8,0,4174.5,200.2727966,0,-4.983247559,0.310353249,3686
Valmy 1,TRUE,GT,3,GAS,1,127,NA,127,127,22.5,12,24,118,2.8,NA,2.54,2.54,NA,NA,NA,2,0,16383,251.9745636,0,7.429197266,0.0054362,3686
Clark 19,TRUE,GT,1,GAS,1,60.5,NA,60.5,60.5,35,1,1,70,7.2,NA,4.84,4.84,NA,NA,NA,4.8,0,4174.5,147.5109406,0,-0.030069349,0.204259709,3686
Clark 13,TRUE,GT,1,GAS,1,60.5,NA,60.5,60.5,35,1,1,70,7.2,NA,4.84,4.84,NA,NA,NA,4.8,0,4174.5,203.0406799,0,-3.202312256,0.247941524,3686
Sun Peak 3,TRUE,GT,1,GAS,1,98.1,NA,98.1,98.1,65,1,1,70,5.3,NA,7.848,7.848,NA,NA,NA,4.8,0,6768.9,320.5814514,0,6.216032227,0.037735507,3686
"Tracy 8, 9, 10_A",TRUE,GT,3,GAS,1,311.5,NA,311.5,317.5,125,8,6,74,1.4,NA,15.575,15.575,NA,NA,NA,2.8,0,24608.5,731.0134277,0,1.438460205,0.013103996,3686
Clark 17,TRUE,GT,1,GAS,1,60.5,NA,60.5,60.5,35,1,1,70,7.2,NA,4.84,4.84,NA,NA,NA,4.8,0,4174.5,203.0406799,0,-3.202312256,0.247941524,3686
Lockwood Renewable Energy Facility,TRUE,GT,1,WOOD_WASTE,1,3.2,NA,3.2,3.2,1.28,1,1,70,10.08,NA,0.256,0.256,NA,NA,NA,4.8,0,220.8,0,0,10,NA,1000
Apex Landfill Facility,TRUE,GT,1,WOOD_WASTE,1,12,NA,12,12,4.8,1,1,70,10.08,NA,0.96,0.96,NA,NA,NA,4.8,0,828,0,0,10,NA,1000
Goodsprings,TRUE,OT,1,OTHER,1,7.5,NA,7.5,7.5,0,1,1,35,6.58,NA,0.6,0.6,NA,NA,NA,5,0,517.5,0,0,10,NA,1000
Burdette Geothermal Power Plant,TRUE,GT,3,GEOTHERMAL,1,15,NA,15,15,6,12,24,128,9.9,NA,0.3,0.3,NA,NA,NA,3,0,0,0,0,10,NA,0
North Valley Geothermal,TRUE,GT,3,GEOTHERMAL,1,25,NA,25,25,10,12,24,128,9.9,NA,0.5,0.5,NA,NA,NA,3,0,0,0,0,10,NA,0
Jersey Valley Geothermal,TRUE,GT,1,GEOTHERMAL,1,22.5,NA,22.5,22.5,9,12,24,128,9.9,NA,0.45,0.45,NA,NA,NA,3,0,0,0,0,10,NA,0
Beowawe Geothermal Power Plant,TRUE,GT,3,GEOTHERMAL,1,20,NA,20,20,8,12,24,128,9.9,NA,0.4,0.4,NA,NA,NA,3,0,0,0,0,10,NA,0
McGinness Hills Geothermal,TRUE,GT,1,GEOTHERMAL,1,96,NA,96,96,38.4,12,24,128,9.9,NA,1.92,1.92,NA,NA,NA,3,0,0,0,0,10,NA,0
Galena 3 Geothermal Power Plant,TRUE,GT,3,GEOTHERMAL,1,15,NA,15,15,6,12,24,128,9.9,NA,0.3,0.3,NA,NA,NA,3,0,0,0,0,10,NA,0
Galena 1,TRUE,GT,3,GEOTHERMAL,1,15,NA,15,15,6,12,24,128,9.9,NA,0.3,0.3,NA,NA,NA,3,0,0,0,0,10,NA,0
USG San Emidio Geothermal,TRUE,GT,3,GEOTHERMAL,1,11.75,NA,11.75,11.75,4.7,12,24,128,9.9,NA,0.235,0.235,NA,NA,NA,3,0,0,0,0,10,NA,0
Ormat Western Geothermal,TRUE,GT,3,GEOTHERMAL,1,20,NA,20,20,8,12,24,128,9.9,NA,0.4,0.4,NA,NA,NA,3,0,0,0,0,10,NA,0
Tuscarora Geothermal,TRUE,GT,1,GEOTHERMAL,1,32,NA,32,32,12.8,12,24,128,9.9,NA,0.64,0.64,NA,NA,NA,3,0,0,0,0,10,NA,0
Desert Peak 2 Geothermal Power,TRUE,GT,3,GEOTHERMAL,1,10,NA,10,10,4,12,24,128,9.9,NA,0.2,0.2,NA,NA,NA,3,0,0,0,0,10,NA,0
Gerlach,TRUE,GT,3,GAS,1,15,NA,15,15,6,12,24,128,9.9,NA,0.3,0.3,NA,NA,NA,3,0,0,0,0,10,NA,0
North Valley Eavor Loop,TRUE,GT,3,GAS,1,20,NA,20,20,8,12,24,128,9.9,NA,0.4,0.4,NA,NA,NA,3,0,0,0,0,10,NA,0
Pinto,TRUE,GT,3,GAS,1,15,NA,15,15,6,12,24,128,9.9,NA,0.3,0.3,NA,NA,NA,3,0,0,0,0,10,NA,0
North Valley 2,TRUE,GT,3,GAS,1,15,NA,15,15,6,12,24,128,9.9,NA,0.3,0.3,NA,NA,NA,3,0,0,0,0,10,NA,0
Lone Mountain,TRUE,GT,3,GAS,1,15,NA,15,15,6,12,24,128,9.9,NA,0.3,0.3,NA,NA,NA,3,0,0,0,0,10,NA,0
